transfermarktLeagueID,transfermarktLeagueURL
UZ1,https://www.transfermarkt.com/ozbekiston-superligasi/startseite/wettbewerb/UZ1
KAS1,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/KAS1
EST1,https://www.transfermarkt.com/premium-liiga/startseite/wettbewerb/EST1
BU1,https://www.transfermarkt.com/efbet-liga/startseite/wettbewerb/BU1
PL2L,https://www.transfermarkt.com/2-liga/startseite/wettbewerb/PL2L
SE1,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1
NLP,https://www.transfermarkt.com/toto-knvb-beker/startseite/wettbewerb/NLP
FI1,https://www.transfermarkt.com/veikkausliiga/startseite/wettbewerb/FI1
BRA2,https://www.transfermarkt.com/campeonato-brasileiro-serie-b/startseite/wettbewerb/BRA2
JAP3,https://www.transfermarkt.com/j3-league/startseite/wettbewerb/JAP3
NZL1,https://www.transfermarkt.com/new-zealand-premiership/startseite/wettbewerb/NZL1
ISR1,https://www.transfermarkt.com/ligat-haal/startseite/wettbewerb/ISR1
AR1N,https://www.transfermarkt.com/superliga/startseite/wettbewerb/AR1N
RSK2,https://www.transfermarkt.com/k-league-2/startseite/wettbewerb/RSK2
NPFL,https://www.transfermarkt.com/nigeria-professional-football-league/startseite/wettbewerb/NPFL
A2,https://www.transfermarkt.com/2-liga/startseite/wettbewerb/A2
TdeA,https://www.transfermarkt.com/torneo-descentralizado-apertura/startseite/wettbewerb/TDeA
USL,https://www.transfermarkt.com/usl-championship/startseite/wettbewerb/USL
EC1N,https://www.transfermarkt.com/ligapro-serie-a/startseite/wettbewerb/EC1N
FR2,https://www.transfermarkt.com/ligue-2/startseite/wettbewerb/FR2
LET1,https://www.transfermarkt.com/virsliga/startseite/wettbewerb/LET1
PO1,https://www.transfermarkt.com/liga-nos/startseite/wettbewerb/PO1
SC3,https://www.transfermarkt.com/scottish-league-one/startseite/wettbewerb/SC3
LIB1,https://www.transfermarkt.com/lebanese-premier-league/startseite/wettbewerb/LIB1
MEXA1,https://www.transfermarkt.com/liga-mx-clausura/startseite/wettbewerb/MEX1
MO1N,https://www.transfermarkt.com/divizia-nationala/startseite/wettbewerb/MO1N
C1,https://www.transfermarkt.com/super-league/startseite/wettbewerb/C1
GB3,https://www.transfermarkt.com/league-one/startseite/wettbewerb/GB3
AND1,https://www.transfermarkt.com/primera-divisio/startseite/wettbewerb/AND1
IND1,https://www.transfermarkt.com/indian-super-league/startseite/wettbewerb/IND1
A4N,https://www.transfermarkt.com/1-landesliga-niederosterreich/startseite/wettbewerb/A4N
CSL,https://www.transfermarkt.com/chinese-super-league/startseite/wettbewerb/CSL
CSPF,https://www.transfermarkt.com/campionato-sammarinese-prima-fase/startseite/wettbewerb/CSPF
IT1,https://www.transfermarkt.com/serie-a/startseite/wettbewerb/IT1
HGKG,https://www.transfermarkt.com/hong-kong-premier-league/startseite/wettbewerb/HGKG
DK1,https://www.transfermarkt.com/superligaen/startseite/wettbewerb/DK1
NO2,https://www.transfermarkt.com/obos-ligaen/startseite/wettbewerb/NO2
EGY1,https://www.transfermarkt.com/egyptian-premier-league/startseite/wettbewerb/EGY1
L2,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
ES2,https://www.transfermarkt.com/laliga2/startseite/wettbewerb/ES2
ZYP1,https://www.transfermarkt.com/first-division/startseite/wettbewerb/ZYP1
MAR1,https://www.transfermarkt.com/botola-pro/startseite/wettbewerb/MAR1
GI1,https://www.transfermarkt.com/gibraltar-national-league/startseite/wettbewerb/GI1
SER1,https://www.transfermarkt.com/super-liga-srbije/startseite/wettbewerb/SER1
KO1,https://www.transfermarkt.com/ipko-superliga/startseite/wettbewerb/KO1
FR1,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1
NIR1,https://www.transfermarkt.com/danske-bank-premiership/startseite/wettbewerb/NIR1
AUS1,https://www.transfermarkt.com/a-league/startseite/wettbewerb/AUS1
GB2,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2
UKR1,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/UKR1
JAP1,https://www.transfermarkt.com/j1-league/startseite/wettbewerb/JAP1
IRN1,https://www.transfermarkt.com/persian-gulf-pro-league/startseite/wettbewerb/IRN1
VIE1,https://www.transfermarkt.com/v-league-1/startseite/wettbewerb/VIE1
BE1,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1
FARO,https://www.transfermarkt.com/betri-deildin/startseite/wettbewerb/FARO
UNG1,https://www.transfermarkt.com/nemzeti-bajnoksag/startseite/wettbewerb/UNG1
NO1,https://www.transfermarkt.com/eliteserien/startseite/wettbewerb/NO1
AZ1,https://www.transfermarkt.com/premyer-liqasi/startseite/wettbewerb/AZ1
ES1,https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1
RSK1,https://www.transfermarkt.com/k-league-1/startseite/wettbewerb/RSK1
SIN1,https://www.transfermarkt.com/singapore-premier-league/startseite/wettbewerb/SIN1
BRA1,https://www.transfermarkt.com/campeonato-brasileiro-serie-a/startseite/wettbewerb/BRA1
WAL1,https://www.transfermarkt.com/cymru-premier/startseite/wettbewerb/WAL1
URU1,https://www.transfermarkt.com/primera-division-apertura/startseite/wettbewerb/URU1
SFA1,https://www.transfermarkt.com/absa-premiership/startseite/wettbewerb/SFA1
IR1,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/IR1
L1,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
UAE1,https://www.transfermarkt.com/uae-arabian-gulf-league/startseite/wettbewerb/UAE1
L3,https://www.transfermarkt.com/3-liga/startseite/wettbewerb/L3
PL2,https://www.transfermarkt.com/fortuna-1-liga/startseite/wettbewerb/PL2
GB4,https://www.transfermarkt.com/league-two/startseite/wettbewerb/GB4
TdeC,https://www.transfermarkt.com/torneo-descentralizado-clausura/startseite/wettbewerb/TDeC
MNE1,https://www.transfermarkt.com/telekom-1-cfl/startseite/wettbewerb/MNE1
IT2,https://www.transfermarkt.com/serie-b/startseite/wettbewerb/IT2
USC3,https://www.transfermarkt.com/usl-league-one/startseite/wettbewerb/USC3
BOS1,https://www.transfermarkt.com/premijer-liga/startseite/wettbewerb/BOS1
QSL,https://www.transfermarkt.com/qatar-stars-league/startseite/wettbewerb/QSL
SLO1,https://www.transfermarkt.com/fortuna-liga/startseite/wettbewerb/SLO1
IN1L,https://www.transfermarkt.com/shopee-liga-1/startseite/wettbewerb/IN1L
FI2,https://www.transfermarkt.com/ykkonen/startseite/wettbewerb/FI2
BE2,https://www.transfermarkt.com/proximus-league/startseite/wettbewerb/BE2
JAP2,https://www.transfermarkt.com/j2-league/startseite/wettbewerb/JAP2
KR1,https://www.transfermarkt.com/1-hnl/startseite/wettbewerb/KR1
WER1,https://www.transfermarkt.com/vysheyshaya-liga/startseite/wettbewerb/WER1
